,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Newport,40,GB,1580270326,80,51.59,-3.0,39.9,16.11
1,Dikson,100,RU,1580270486,95,73.51,80.55,-18.06,14.38
2,Beira,0,MZ,1580270403,78,-19.84,34.84,81.07,14.5
3,Port Alfred,60,ZA,1580270610,85,-33.59,26.89,66.99,5.01
4,Pillaro,20,EC,1580270621,87,-1.17,-78.53,45.21,5.82
5,Thompson,90,CA,1580270622,85,55.74,-97.86,10.4,8.05
6,Barrow,1,US,1580270524,74,71.29,-156.79,-27.4,3.36
7,Tiksi,99,RU,1580270624,87,71.69,128.87,-15.88,6.51
8,Kushiro,75,JP,1580270625,80,42.98,144.37,30.2,9.17
9,Pangnirtung,7,CA,1580270495,88,66.15,-65.71,-28.75,4.25
10,Ushuaia,75,AR,1580270628,81,-54.8,-68.3,42.8,28.86
11,Kapaa,1,US,1580270629,61,22.08,-159.32,75.43,3.36
12,Longyearbyen,40,SJ,1580270484,77,78.22,15.64,6.8,16.11
13,Airai,55,TL,1580270631,49,-8.93,125.41,86.11,3.89
14,Hermanus,89,ZA,1580270483,97,-34.42,19.23,64.0,3.0
15,Atuona,32,PF,1580270633,79,-9.8,-139.03,80.91,13.62
16,Mahebourg,75,MU,1580270635,94,-20.41,57.7,73.13,1.9
17,Castro,33,BR,1580270636,99,-24.79,-50.01,63.79,5.88
18,Mar del Plata,100,AR,1580270468,60,-38.0,-57.56,68.56,6.93
19,Kaka,0,TM,1580270638,75,37.35,59.61,34.56,8.88
20,Bluff,100,NZ,1580270639,89,-46.6,168.33,55.0,11.99
21,Zavolzhye,90,RU,1580270640,92,56.64,43.39,21.42,6.71
22,Lorengau,76,PG,1580270642,79,-2.02,147.27,84.0,14.38
23,Kodiak,90,US,1580270491,73,57.79,-152.41,24.8,23.04
24,Hilo,20,US,1580270347,57,19.73,-155.09,71.65,5.82
25,Busselton,32,AU,1580270645,28,-33.65,115.33,82.09,7.54
26,Puerto Ayora,39,EC,1580270498,9,-0.74,-90.35,73.99,3.0
27,Albany,90,US,1580270647,79,42.6,-73.97,28.29,10.29
28,Vaini,75,TO,1580270648,94,-21.2,-175.2,78.8,5.82
29,Fortuna,90,US,1580270650,93,40.6,-124.16,48.87,3.36
30,Acarau,99,BR,1580270651,89,-2.89,-40.12,76.08,2.46
31,Nome,1,US,1580270652,62,64.5,-165.41,-17.9,5.28
32,Tezu,0,IN,1580270653,39,27.92,96.17,61.2,2.93
33,Fairbanks,20,US,1580270632,73,64.84,-147.72,-25.89,4.7
34,Meulaboh,88,ID,1580270656,80,4.14,96.13,79.54,5.12
35,Koslan,0,RU,1580270657,96,63.46,48.9,-10.37,4.32
36,Ponta do Sol,20,PT,1580270658,72,32.67,-17.1,56.12,6.93
37,Lalmohan,74,BD,1580270659,56,22.34,90.74,71.31,3.09
38,Voznesenye,96,RU,1580270660,87,61.01,35.48,19.47,9.01
39,Esperance,75,AU,1580270662,69,-33.87,121.9,75.2,8.05
40,Staunton,75,US,1580270534,80,38.15,-79.07,32.36,4.7
41,Lazo,100,RU,1580270664,80,43.38,133.9,24.22,5.79
42,East London,0,ZA,1580270404,55,-33.02,27.91,64.4,6.93
43,Colares,75,PT,1580270666,100,38.8,-9.45,58.1,10.29
44,Chui,0,UY,1580270668,85,-33.7,-53.46,68.63,13.29
45,Jining,0,CN,1580270669,46,35.41,116.58,42.93,7.61
46,Tateyama,20,JP,1580270504,63,34.98,139.87,63.14,13.87
47,Port Lincoln,0,AU,1580270671,25,-34.73,135.87,89.6,13.87
48,Cape Town,75,ZA,1580270449,100,-33.93,18.42,65.59,8.05
49,Constitucion,10,CL,1580270674,81,-35.33,-72.42,53.24,7.31
50,Hobart,40,AU,1580270425,34,-42.88,147.33,79.57,11.41
51,Bilibino,100,RU,1580270676,99,68.05,166.44,-7.35,4.72
52,Bethel,90,US,1580270454,74,41.37,-73.41,33.64,8.05
53,Uddevalla,100,SE,1580270678,100,58.35,11.94,39.15,8.05
54,Rikitea,100,PF,1580270679,78,-23.12,-134.97,79.79,6.22
55,Klaksvik,0,FO,1580270503,65,62.23,-6.59,32.0,3.36
